period,origin,source_model,cycle,exit_date,maturity_date,cycle_net_return,complete_information
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2022-12-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2022-12-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2022-12-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-01-03,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-01-03,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-01-03,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-02-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-02-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-02-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-02-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-03-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-03-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-03-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-03-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-04-03,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-04-03,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-04-03,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-04-03,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-05-04,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-05-04,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-05-04,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-05-04,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-05-04,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-06-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-06-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-06-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-06-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-06-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-07-03,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-07-03,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-07-03,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-07-03,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-07-03,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-08-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-08-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-08-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-08-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-08-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-09-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-09-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-09-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-09-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-09-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-10-09,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-10-09,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-10-09,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-10-09,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-10-09,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-11-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-11-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-11-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-11-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-11-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2023-12-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2023-12-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2023-12-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2023-12-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2023-12-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2024-01-02,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2024-01-02,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2024-01-02,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2024-01-02,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2024-01-02,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2024-02-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2024-02-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2024-02-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2024-02-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2024-02-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2024-03-01,TREND_NOISE_REFERENCE_BLEND,11,2024-02-23,2024-02-23,0.0283208168792781,True
evaluation,2024-03-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2024-03-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2024-03-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2024-03-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,10,2022-09-02,2022-09-02,-0.0089594665292068,True
evaluation,2024-04-01,TREND_NOISE_REFERENCE_BLEND,11,2024-02-23,2024-02-23,0.0283208168792781,True
evaluation,2024-04-01,RETURN_RUNS_STATE,1,2020-01-21,2020-01-21,0.007793235783345,True
evaluation,2024-04-01,RETURN_RUNS_STATE,2,2021-01-20,2021-01-20,0.0940937630954477,True
evaluation,2024-04-01,RETURN_RUNS_STATE,3,2023-01-18,2023-01-18,0.0329968887087236,True
evaluation,2024-04-01,RETURN_RUNS_STATE,4,2023-04-14,2023-04-14,0.0146968816749349,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,1,2020-03-02,2020-03-02,0.0723214871220958,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,2,2020-07-07,2020-07-07,0.1494208079625125,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,3,2020-09-30,2020-09-30,-0.0367192652318099,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,4,2021-01-14,2021-01-14,0.0594934732061853,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,5,2021-02-19,2021-02-19,0.0441763485671996,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,6,2021-07-21,2021-07-21,-0.0224495430173927,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,7,2021-08-11,2021-08-11,0.0389560194856172,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,8,2021-12-13,2021-12-13,0.0232676622917412,True
evaluation,2024-05-06,TREND_NOISE_REFERENCE_BLEND,9,2022-06-10,2022-06-10,0.0088528751285844,True
