cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,TANGENCY_REFERENCE_BUDGET,2020—2021,0.0682280923000005,0.03341085247596393,0.03395327462459828,0.04668110674921903,0.72734510788278,-0.06361245184404167,486,0.07939892272262472,19,252.88154000000003,674.4000000000017,False,2.830802259268239e-11
BASE,TANGENCY_REFERENCE_BUDGET,2022—2023,-0.0026641676253546993,-0.0013329722201471915,-0.001314131244376071,0.006288874734504402,-0.20896126888423894,-0.0077613500232388225,484,0.0066526190334598116,4,31.28774,108.00000000000409,False,2.5153212845907547e-11
BASE,TANGENCY_REFERENCE_BUDGET,2024—终点,0.030260651721132088,0.011444269292205933,0.011622952128006377,0.022091453033173437,0.5261289110568179,-0.0301190108188208,634,0.0374561942588186,15,259.46834,798.1999999999725,False,4.0259351408167277e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020—2021,0.11117704309999968,0.0538951985571874,0.05308355371565837,0.03444049645739012,1.5413120940731355,-0.011568221205928538,486,0.0443828641116421,11,200.79138,576.5000000000282,False,3.205968823749572e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022—2023,0.0007454493459376382,0.00037265523700598504,0.0004131831642703587,0.009023770807832943,0.045788304365144285,-0.00982083030256035,484,0.011362785966179444,6,64.53476,221.89999999999947,False,3.6266101233195513e-11
BASE,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024—终点,0.11941762267172473,0.0439999303416302,0.043500811252148074,0.029697546892362512,1.464794766039596,-0.0230773650701304,634,0.07010398957776136,28,495.79248000000007,1464.0999999999367,False,4.695266397902742e-11
BASE,UNIVERSAL_REFERENCE_BUDGET,2020—2021,0.14590790229999986,0.07017093069945474,0.07005361251262211,0.0670168950466406,1.0453127150081796,-0.061918995584918285,486,0.16364688801371696,19,484.11954000000003,1433.40000000001,False,4.160938260611147e-11
BASE,UNIVERSAL_REFERENCE_BUDGET,2022—2023,0.0033499255850274363,0.0016735623869821577,0.001845625950243901,0.0186671913440539,0.09887003975195187,-0.017645326763010546,484,0.023752480931651842,6,159.25876,545.1999999999961,False,2.1827872842550278e-11
BASE,UNIVERSAL_REFERENCE_BUDGET,2024—终点,0.14309181682617791,0.0523731605405641,0.052069312067478064,0.04534137981986066,1.1483839326096204,-0.03949147053317749,634,0.10434201144313252,27,795.23378,2359.399999999888,False,4.979483492206782e-11
BASE,PANIC_LEARNED_HALF,2020—2021,0.14339005880000066,0.06899940719231859,0.06854568955193548,0.0604872091891418,1.1332261889880724,-0.05388667659424196,486,0.14756746264439047,19,443.38824,1315.8000000000125,False,4.474998149817111e-11
BASE,PANIC_LEARNED_HALF,2022—2023,0.002938889379121317,0.0014683666392670022,0.0015992527955804858,0.016279330935921797,0.09823823852929925,-0.015408253967918019,484,0.020720453760739634,6,138.44062000000002,473.89999999999657,False,3.744560217455728e-11
BASE,PANIC_LEARNED_HALF,2024—终点,0.13180497389751084,0.048394673069243534,0.04804920910390732,0.039818332111038364,1.2067107424267831,-0.03388600456308931,634,0.09226087694246554,27,694.01986,2054.4999999999045,False,4.369127282188856e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,TANGENCY_REFERENCE_BUDGET,2020—2021,0.06397873880000005,0.03136183667700704,0.031965858555322954,0.04662915174588541,0.6855337778719863,-0.06579595553791341,486,0.07940153356505836,19,484.05224000000004,1264.5999999999858,False,2.6204816094832495e-11
STRESS,TANGENCY_REFERENCE_BUDGET,2022—2023,-0.0031308473360635324,-0.0015666508654989504,-0.0015477527439926586,0.006351434295333735,-0.24368554755100905,-0.007794472884771929,484,0.006672842996865755,4,59.93100000000001,179.0000000000008,False,2.7348789899406256e-11
STRESS,TANGENCY_REFERENCE_BUDGET,2024—终点,0.02649618462271388,0.010032005817016649,0.010225029082700687,0.022063611707032107,0.46343405687482114,-0.030678284903311082,634,0.037500937861104325,15,515.2771600000001,1351.9000000000046,False,2.7824853532365523e-11
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,2020—2021,0.10767163159999935,0.05223837369819972,0.05150954162043057,0.03442974551821335,1.4960767454171857,-0.012847939927647682,486,0.04437780082415706,11,385.77368,1045.399999999989,False,2.467004378559068e-11
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,2022—2023,-0.0002476795398325036,-0.00012384743901032653,-8.248260185156342e-05,0.009109362872581253,-0.009054705911412544,-0.009859282747265379,484,0.011405524574146793,6,129.06952,377.900000000002,False,3.6266101233195513e-11
STRESS,CONTINUOUS_REFERENCE_MIN_VARIANCE,2024—终点,0.11162137345462389,0.041218566918044645,0.04082800024825054,0.029538348067442623,1.3822032347588,-0.023569045524214016,634,0.07012237756271535,28,975.4588400000001,2648.7000000000326,False,3.998934516857844e-11
STRESS,UNIVERSAL_REFERENCE_BUDGET,2020—2021,0.1372313926000005,0.06612838053862863,0.06627201725027453,0.06707731499836231,0.9879944844526433,-0.0627588467149691,486,0.16382804446369395,19,965.42148,2627.100000000005,False,3.433342499192804e-11
STRESS,UNIVERSAL_REFERENCE_BUDGET,2022—2023,0.0009758673628091723,0.0004878146998139089,0.0006628044366062125,0.018754783480069533,0.03534055390778391,-0.018341324121916424,484,0.023742970594604625,6,315.5426,922.1000000000113,False,2.8535396268125623e-11
STRESS,UNIVERSAL_REFERENCE_BUDGET,2024—终点,0.13035627302189096,0.04788224846270745,0.04778707733427294,0.04523241887116169,1.0564784843894341,-0.04020131733881108,634,0.10434414108756894,27,1565.8172800000002,4264.900000000009,False,3.4503955248510465e-11
STRESS,PANIC_LEARNED_HALF,2020—2021,0.13556659860000086,0.06535095295359267,0.06512487484070988,0.060468865051977704,1.0769984649907016,-0.05455698002155782,486,0.14746783950190614,19,883.1802800000002,2407.0000000000023,False,4.274625098332763e-11
STRESS,PANIC_LEARNED_HALF,2022—2023,0.0008709398473143316,0.00043537514789746245,0.0005688389704401331,0.016376906503679234,0.034734213711993644,-0.01602247429107545,484,0.02073876410480043,6,274.89796,803.3000000000097,False,2.3362645151792094e-11
STRESS,PANIC_LEARNED_HALF,2024—终点,0.12081285115910316,0.04449642263492091,0.04431893937842966,0.03970703723661881,1.116148231214734,-0.034514592940440625,634,0.09236971517272499,27,1369.8952800000002,3731.2000000000116,False,3.709033080667723e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
