period,cost,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
evaluation,BASE,1,2020-01-02,2019-12-31,85363.16922000001,890.1000000000058,34.29162,124.2000000000047,0.0,13,1,1,2020-01-21,2020-01-20,False,731.6083800000011,0.008570539105858201
evaluation,BASE,2,2020-02-05,2020-02-04,61345.46664,3964.80000000001,26.99624,76.80000000000408,0.0,18,1,2,2020-03-02,2020-02-28,False,3861.003760000006,0.06293869737201507
evaluation,BASE,3,2020-07-01,2020-06-30,59090.815800000004,8939.399999999987,25.40256,84.59999999999069,0.0,4,1,1,2020-07-07,2020-07-06,False,8829.397439999995,0.14942080796251242
evaluation,BASE,4,2020-08-19,2020-08-18,33609.7206,-1338.6000000000022,13.1652,41.40000000000157,0.0,30,1,1,2020-09-30,2020-09-29,False,-1393.1652000000036,-0.041451258003019624
evaluation,BASE,5,2020-12-15,2020-12-14,104317.8594,9197.5,43.533699999999996,123.00000000000466,791.9999999999999,25,2,2,2021-01-20,2021-01-19,False,9822.966299999995,0.09416380240639786
evaluation,BASE,6,2021-02-03,2021-02-02,20332.8,-377.3999999999978,10.0,22.20000000000084,0.0,12,1,1,2021-02-26,2021-02-25,False,-409.59999999999866,-0.020144790683034243
evaluation,BASE,7,2021-06-08,2021-06-07,6355.4,-130.79999999999927,10.0,7.199999999999207,0.0,30,1,1,2021-07-21,2021-07-20,False,-147.99999999999847,-0.023287283255184327
evaluation,BASE,8,2021-07-29,2021-07-28,112278.25116,4557.099999999991,45.78626,137.4000000000052,0.0,9,1,1,2021-08-11,2021-08-10,False,4373.913739999986,0.038956019485617235
evaluation,BASE,9,2021-10-29,2021-10-28,16336.699999999999,729.2999999999993,10.0,19.80000000000075,0.0,31,1,1,2021-12-13,2021-12-10,False,699.4999999999985,0.04281770492204659
evaluation,BASE,10,2022-05-13,2022-05-12,25142.0274,597.2999999999986,15.0274,31.499999999996795,0.0,19,1,2,2022-06-10,2022-06-09,False,550.7726000000018,0.021906451346879123
evaluation,BASE,11,2022-08-10,2022-08-09,37852.569,-269.0999999999981,19.33412,54.000000000002046,0.0,17,1,2,2022-09-02,2022-09-01,False,-342.4341200000001,-0.009046522575521892
evaluation,BASE,12,2023-01-10,2023-01-09,91208.63807999999,1747.199999999997,36.79872,134.4000000000051,1433.6000000000001,6,1,1,2023-01-18,2023-01-17,False,3009.6012799999926,0.03299688870872342
evaluation,BASE,13,2023-03-30,2023-03-29,100420.08,1932.699999999997,40.52144,125.49999999999733,0.0,10,1,1,2023-04-14,2023-04-13,False,1766.6785599999998,0.017592881423715255
evaluation,BASE,14,2024-02-19,2024-02-08,36805.75968,1100.9000000000015,14.93082,43.60000000000004,0.0,4,1,1,2024-02-23,2024-02-22,False,1042.3691800000013,0.028320816879278204
evaluation,BASE,15,2024-03-05,2024-03-04,93939.98424,2743.199999999997,38.09584,106.40000000000374,0.0,53,2,1,2024-05-24,2024-05-23,False,2598.7041599999934,0.02766345109618887
evaluation,BASE,16,2024-06-18,2024-06-17,66061.80972,-482.4999999999927,26.349420000000006,74.40000000000322,0.0,22,1,2,2024-07-18,2024-07-17,False,-583.249419999996,-0.008828844115413615
evaluation,BASE,17,2024-08-02,2024-08-01,37050.80868,-342.40000000000146,14.74032,42.80000000000004,0.0,2,1,1,2024-08-06,2024-08-05,False,-399.9403200000015,-0.010794374920509872
evaluation,BASE,18,2024-08-28,2024-08-27,37099.4184,-1221.0,14.5838,43.999999999995154,0.0,11,1,1,2024-09-12,2024-09-11,False,-1279.5837999999953,-0.03449067007476309
evaluation,BASE,19,2024-09-25,2024-09-24,37710.340560000004,5594.4000000000015,16.189200000000003,53.99999999999405,0.0,3,1,1,2024-09-30,2024-09-27,False,5524.210800000008,0.14649061021367787
evaluation,BASE,20,2024-10-09,2024-10-08,25304.259840000002,-1669.7000000000007,10.059840000000001,35.39999999999872,0.0,9,1,1,2024-10-22,2024-10-21,False,-1715.1598399999993,-0.06778146647422346
evaluation,BASE,21,2025-04-09,2025-04-08,117699.03510000001,4985.5,48.042100000000005,125.99999999999568,0.0,10,2,1,2025-04-23,2025-04-22,False,4811.457900000005,0.0408793317286932
evaluation,BASE,22,2025-06-03,2025-05-30,7111.4,-133.20000000000073,10.0,7.199999999999207,158.39999999999998,13,1,1,2025-06-20,2025-06-19,False,8.000000000000043,0.00112495429873162
