period,cost,model,net_sharpe
evaluation,BASE,GAP_RECOVERY,-1.1076113857903551
evaluation,BASE,REARM_RIDGE,0.7048682574353758
evaluation,BASE,PANIC_LEARNED_HALF,0.944390709635229
evaluation,BASE,PANIC_ONLY,1.1180113935237783
evaluation,BASE,BUY_HOLD,0.28789939065519343
evaluation,STRESS,GAP_RECOVERY,-1.601712572897934
evaluation,STRESS,REARM_RIDGE,0.6411361272639541
evaluation,STRESS,PANIC_LEARNED_HALF,0.8790034689617331
evaluation,STRESS,PANIC_ONLY,1.0930623071700383
evaluation,STRESS,BUY_HOLD,0.28690843031022767
earlier_diagnostic,BASE,GAP_RECOVERY,-0.342705567505894
earlier_diagnostic,BASE,REARM_RIDGE,0.747697665787205
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,0.6044206723945715
earlier_diagnostic,BASE,PANIC_ONLY,-0.10683567142232424
earlier_diagnostic,BASE,BUY_HOLD,0.27872198615255206
earlier_diagnostic,STRESS,GAP_RECOVERY,-0.7846976751789739
earlier_diagnostic,STRESS,REARM_RIDGE,0.724697402620827
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,0.5721130310404378
earlier_diagnostic,STRESS,PANIC_ONLY,-0.1387479032812565
earlier_diagnostic,STRESS,BUY_HOLD,0.2777077741807245
