selection_origin,window,selected,selected_count,information_cutoff
2019-12-31,252,R04_MOM20|M_HGB_H20_ROLL756|R12_RISK_TREND,3,2019-12-31
2020-01-02,252,R04_MOM20|M_HGB_H20_ROLL756|R12_RISK_TREND,3,2020-01-02
2020-04-01,252,M_HGB_H20_ROLL756|M_RIDGE_H20_ROLL756|M_RIDGE_H5_ROLL756,3,2020-04-01
2020-07-01,252,M_HGB_H20_ROLL756|M_HGB_H5_ROLL756|M_RIDGE_H20_ROLL756,3,2020-07-01
2020-10-09,252,M_HGB_H5_ROLL756|M_HGB_H20_ROLL756|M_RIDGE_H20_ROLL756,3,2020-10-09
2021-01-04,252,M_HGB_H5_ROLL756|M_HGB_H20_ROLL756|M_RIDGE_H20_ROLL756,3,2021-01-04
2021-04-01,252,M_RIDGE_H20_EXPANDING|M_HGB_H5_ROLL756|M_ET_H5_ROLL756,3,2021-04-01
2021-07-01,252,M_HGB_H5_ROLL756|M_RIDGE_H20_EXPANDING|M_RIDGE_H5_EXPANDING,3,2021-07-01
2021-10-08,252,M_RIDGE_H20_EXPANDING|M_RIDGE_H20_ROLL756|M_RIDGE_H5_EXPANDING,3,2021-10-08
2022-01-04,252,M_RIDGE_H20_EXPANDING|R11_REGIME|M_RIDGE_H5_EXPANDING,3,2022-01-04
2022-04-01,252,,0,2022-04-01
2022-07-01,252,R05_MOM60|R11_REGIME,2,2022-07-01
2022-10-10,252,,0,2022-10-10
2023-01-03,252,,0,2023-01-03
2023-04-03,252,R01_SMA60|R10_RSI2_TREND|R08_BREAKOUT,3,2023-04-03
2023-07-03,252,R11_REGIME,1,2023-07-03
2023-10-09,252,M_HGB_H5_ROLL756|M_RIDGE_H20_ROLL756|M_HGB_H20_ROLL756,3,2023-10-09
2024-01-02,252,M_RIDGE_H20_ROLL756|M_HGB_H20_ROLL756|R10_RSI2_TREND,3,2024-01-02
2024-04-01,252,R09_RSI2,1,2024-04-01
2024-07-01,252,R01_SMA60,1,2024-07-01
2024-10-08,252,R01_SMA60|R04_MOM20|R07_TREND_VOTE,3,2024-10-08
2025-01-02,252,M_RIDGE_H5_EXPANDING|R01_SMA60|R12_RISK_TREND,3,2025-01-02
2025-04-01,252,M_RIDGE_H5_EXPANDING|M_HGB_H20_ROLL756|M_RIDGE_H5_ROLL756,3,2025-04-01
2025-07-01,252,M_ET_H5_ROLL756|M_RIDGE_H5_ROLL756|M_RIDGE_H5_EXPANDING,3,2025-07-01
2025-10-09,252,M_ET_H5_ROLL756|M_RIDGE_H5_ROLL756|M_ET_H5_EXPANDING,3,2025-10-09
2026-01-05,252,M_ET_H5_ROLL756|M_ET_H5_EXPANDING|R02_SMA120,3,2026-01-05
2026-04-01,252,R02_SMA120|M_ET_H5_EXPANDING|R12_RISK_TREND,3,2026-04-01
2026-07-01,252,R02_SMA120|R03_SMA200|M_HGB_H20_EXPANDING,3,2026-07-01
