date,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,estimated_portfolio_variance,minimum_scaled_eigenvalue,active_strategies,target,panic_budget,panic_sd,panic_state,learned_budget,learned_sd,learned_state,breakout_budget,breakout_sd,breakout_state,panic_learned_covariance,panic_breakout_covariance,learned_breakout_covariance,panic_reference_return,learned_reference_return,breakout_reference_return
2012-05-28,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-05-29,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-05-30,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-05-31,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-01,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-04,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-05,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-06,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-07,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-08,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-11,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-12,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-13,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-14,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-15,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-18,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-19,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-20,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-21,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-25,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-26,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-27,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-28,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-06-29,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-02,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-03,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-04,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-05,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-06,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-09,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-10,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-11,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-12,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-13,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-16,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-17,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-18,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-19,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-20,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-23,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-24,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-25,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-26,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-27,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-30,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-07-31,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-01,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-02,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-03,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-06,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-07,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-08,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-09,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-10,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-13,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-14,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2012-08-15,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
