cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,SIGNAL_EPISODE_PROTECTIVE_EXIT,正信号满仓与固定三倍日波动回撤保护,0.6282935942000036,0.07632818077928663,0.07720951262818007,0.08572211661308836,0.9006953593629704,-0.09992941313918102,1604,0.20234209199188888,60,3334.08116,10274.499999999916,False,7.139533408917487e-11,0.040070709133669655,False
BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,第174轮原预算,0.5711741564999999,0.07054497468027919,0.0692373219871611,0.04626186501911328,1.4966392288455168,-0.033801128051328885,1604,0.12497308888484922,93,1764.8687000000002,5429.299999999986,False,5.6843418860808015e-11,0.034287503034662214,True
BASE,BINARY_SIGNAL_EXPOSURE,第183轮不设保护的满仓,0.8017955247000006,0.09289643658794468,0.09335841696484694,0.09534106583072309,0.9792046706358798,-0.10464892355545855,1604,0.26999677075991735,60,3434.3950600000003,10562.59999999986,False,8.031975085032173e-11,0.0566389649423277,False
BASE,ACCOUNT_VOLATILITY_EXPOSURE,第181轮每日风险预算,0.843036382099998,0.09663435961892355,0.09485803109673198,0.07260820628033228,1.3064367783786806,-0.06718111998958115,1604,0.18892609330962168,115,3470.72358,10666.199999999928,False,1.0400214023320586e-10,0.06037688797330658,True
BASE,EPISODE_ACCOUNT_RISK_BUDGET,第182轮区间固定预算,0.723374422800001,0.08558357272619202,0.08436137843219553,0.0672334672528141,1.2547527575065607,-0.06644922071800724,1604,0.16477850749152292,89,2537.1154399999996,7828.199999999933,False,6.414779818442184e-11,0.049326101080575044,True
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,SIGNAL_EPISODE_PROTECTIVE_EXIT,正信号满仓与固定三倍日波动回撤保护,0.5619468132000005,0.06959403334113877,0.07093117455645404,0.08570972344080413,0.8275744187349178,-0.10325917782541441,1604,0.20243034293245937,60,6522.137360000001,18108.799999999886,False,8.526512829121202e-11,0.03350908882739612,False
STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,第174轮原预算,0.5356832387999988,0.06686103593820389,0.06578798600442476,0.04623253392163346,1.4229803219511783,-0.036538402327089936,1604,0.12498851594288354,93,3458.35224,9609.999999999985,False,9.993073035730049e-11,0.030776091424461242,True
STRESS,BINARY_SIGNAL_EXPOSURE,第183轮不设保护的满仓,0.7283278958000003,0.08605376453514271,0.08708390969557879,0.0954222741913518,0.912616162563345,-0.10608364613466834,1604,0.2701197906351888,60,6715.72084,18672.19999999988,False,7.139533408917487e-11,0.049968820021400066,False
STRESS,ACCOUNT_VOLATILITY_EXPOSURE,第181轮每日风险预算,0.7697040993999988,0.08993718794688503,0.08872744985816879,0.07256784129660745,1.2226827789393921,-0.07154080545080116,1604,0.18910982401275322,115,6776.680120000001,18816.0,False,9.112000043387525e-11,0.053852243433142384,True
STRESS,EPISODE_ACCOUNT_RISK_BUDGET,第182轮区间固定预算,0.6703838263999977,0.08048046550853727,0.0796444703480804,0.06717723287608093,1.1855872434489416,-0.07138164318835696,1604,0.16491096828647367,89,4978.234720000001,13824.499999999922,False,7.867129170335829e-11,0.04439552099479462,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
