date,wealth_close,reference_new_buy,reference_holding,reference_entry_wealth_open,reference_entry_date,reference_state,stage,target,price_upgrade,stage_status
2012-05-28,1.0,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-05-29,1.0153609831029187,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-05-30,1.012288786482335,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-05-31,1.009984639016897,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-01,1.009984639016897,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-04,0.9823348694316434,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-05,0.9834869431643622,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-06,0.9827188940092164,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-07,0.976574500768049,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-08,0.9731182795698922,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-11,0.9846390168970812,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-12,0.9784946236559138,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-13,0.9927035330261135,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-14,0.9884792626728108,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-15,0.9923195084485406,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-18,0.9953917050691243,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-19,0.9880952380952379,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-20,0.9869431643625189,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-21,0.9715821812596003,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-25,0.9523809523809521,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-26,0.9523809523809521,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-27,0.9489247311827955,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-28,0.9435483870967739,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-06-29,0.9543010752688169,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-02,0.9543010752688169,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-03,0.9558371735791087,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-04,0.9558371735791087,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-05,0.9450844854070656,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-06,0.9604454685099842,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-09,0.9412442396313361,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-10,0.9374039938556064,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-11,0.9416282642089091,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-12,0.9500768049155144,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-13,0.9516129032258063,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-16,0.9362519201228876,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-17,0.9381720430107523,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-18,0.9381720430107523,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-19,0.941244239631336,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-20,0.9343317972350225,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-23,0.9228110599078336,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-24,0.9247311827956983,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-25,0.9189708141321038,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-26,0.9147465437788013,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-27,0.9158986175115201,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-30,0.9128264208909364,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-07-31,0.9105222734254986,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-01,0.9174347158218119,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-02,0.9105222734254986,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-03,0.91589861751152,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-06,0.927803379416282,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-07,0.9289554531490009,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-08,0.9297235023041467,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-09,0.9389400921658979,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-10,0.9362519201228873,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-13,0.9185867895545308,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-14,0.9170506912442389,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-15,0.9086021505376337,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-16,0.905913978494623,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-17,0.9020737327188934,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-20,0.8970814132104447,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-21,0.9005376344086015,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2012-08-22,0.894009216589861,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
