fit_index,fit_origin,fit_time,status,training_cycle_count,training_rows,regression_fits,latest_exit_index,latest_exit_date
897,2016-02-01,2016-02-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
913,2016-03-01,2016-03-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
936,2016-04-01,2016-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
956,2016-05-03,2016-05-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
977,2016-06-01,2016-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
997,2016-07-01,2016-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,7,261,0,883,2016-01-12
1018,2016-08-01,2016-08-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,0,1016,2016-07-28
1041,2016-09-01,2016-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,0,1016,2016-07-28
1061,2016-10-10,2016-10-10 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,0,1016,2016-07-28
1077,2016-11-01,2016-11-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,8,320,0,1016,2016-07-28
1099,2016-12-01,2016-12-01 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,0,1079,2016-11-03
1121,2017-01-03,2017-01-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,0,1079,2016-11-03
1139,2017-02-03,2017-02-03 15:05:00,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,9,379,0,1079,2016-11-03
1157,2017-03-01,2017-03-01 15:05:00,FIT_COMPLETE,10,438,60,1142,2017-02-08
1180,2017-04-05,2017-04-05 15:05:00,FIT_COMPLETE,10,438,60,1142,2017-02-08
1198,2017-05-02,2017-05-02 15:05:00,FIT_COMPLETE,10,438,60,1142,2017-02-08
1218,2017-06-01,2017-06-01 15:05:00,FIT_COMPLETE,11,497,60,1205,2017-05-11
1240,2017-07-03,2017-07-03 15:05:00,FIT_COMPLETE,11,497,60,1205,2017-05-11
1261,2017-08-01,2017-08-01 15:05:00,FIT_COMPLETE,11,497,60,1205,2017-05-11
1284,2017-09-01,2017-09-01 15:05:00,FIT_COMPLETE,12,556,60,1270,2017-08-14
1305,2017-10-09,2017-10-09 15:05:00,FIT_COMPLETE,12,556,60,1270,2017-08-14
1322,2017-11-01,2017-11-01 15:05:00,FIT_COMPLETE,12,556,60,1270,2017-08-14
1344,2017-12-01,2017-12-01 15:05:00,FIT_COMPLETE,13,615,60,1333,2017-11-16
1365,2018-01-02,2018-01-02 15:05:00,FIT_COMPLETE,13,615,60,1333,2017-11-16
1387,2018-02-01,2018-02-01 15:05:00,FIT_COMPLETE,13,615,60,1333,2017-11-16
1402,2018-03-01,2018-03-01 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1424,2018-04-02,2018-04-02 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1442,2018-05-02,2018-05-02 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1464,2018-06-01,2018-06-01 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1484,2018-07-02,2018-07-02 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1506,2018-08-01,2018-08-01 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1529,2018-09-03,2018-09-03 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1548,2018-10-08,2018-10-08 15:05:00,FIT_COMPLETE,14,671,60,1393,2018-02-09
1566,2018-11-01,2018-11-01 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1588,2018-12-03,2018-12-03 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1608,2019-01-02,2019-01-02 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1630,2019-02-01,2019-02-01 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1645,2019-03-01,2019-03-01 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1666,2019-04-01,2019-04-01 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1687,2019-05-06,2019-05-06 15:05:00,FIT_COMPLETE,15,678,60,1557,2018-10-19
1707,2019-06-03,2019-06-03 15:05:00,FIT_COMPLETE,16,721,60,1688,2019-05-07
1726,2019-07-01,2019-07-01 15:05:00,FIT_COMPLETE,16,721,60,1688,2019-05-07
1749,2019-08-01,2019-08-01 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1771,2019-09-02,2019-09-02 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1791,2019-10-08,2019-10-08 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1809,2019-11-01,2019-11-01 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1830,2019-12-02,2019-12-02 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1852,2020-01-02,2020-01-02 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1868,2020-02-03,2020-02-03 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1888,2020-03-02,2020-03-02 15:05:00,FIT_COMPLETE,17,759,60,1730,2019-07-05
1910,2020-04-01,2020-04-01 15:05:00,FIT_COMPLETE,18,787,60,1899,2020-03-17
1931,2020-05-06,2020-05-06 15:05:00,FIT_COMPLETE,18,787,60,1899,2020-03-17
1949,2020-06-01,2020-06-01 15:05:00,FIT_COMPLETE,19,829,60,1945,2020-05-26
1969,2020-07-01,2020-07-01 15:05:00,FIT_COMPLETE,19,829,60,1945,2020-05-26
1992,2020-08-03,2020-08-03 15:05:00,FIT_COMPLETE,19,829,60,1945,2020-05-26
2013,2020-09-01,2020-09-01 15:05:00,FIT_COMPLETE,19,829,60,1945,2020-05-26
2035,2020-10-09,2020-10-09 15:05:00,FIT_COMPLETE,20,888,60,2029,2020-09-23
2051,2020-11-02,2020-11-02 15:05:00,FIT_COMPLETE,20,888,60,2029,2020-09-23
2072,2020-12-01,2020-12-01 15:05:00,FIT_COMPLETE,20,888,60,2029,2020-09-23
2095,2021-01-04,2021-01-04 15:05:00,FIT_COMPLETE,20,888,60,2029,2020-09-23
2115,2021-02-01,2021-02-01 15:05:00,FIT_COMPLETE,20,888,60,2029,2020-09-23
2130,2021-03-01,2021-03-01 15:05:00,FIT_COMPLETE,20,862,60,2130,2021-03-01
2153,2021-04-01,2021-04-01 15:05:00,FIT_COMPLETE,20,862,60,2130,2021-03-01
2174,2021-05-06,2021-05-06 15:05:00,FIT_COMPLETE,20,862,60,2130,2021-03-01
2192,2021-06-01,2021-06-01 15:05:00,FIT_COMPLETE,20,862,60,2130,2021-03-01
2213,2021-07-01,2021-07-01 15:05:00,FIT_COMPLETE,20,862,60,2130,2021-03-01
2235,2021-08-02,2021-08-02 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2257,2021-09-01,2021-09-01 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2277,2021-10-08,2021-10-08 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2293,2021-11-01,2021-11-01 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2315,2021-12-01,2021-12-01 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2338,2022-01-04,2022-01-04 15:05:00,FIT_COMPLETE,20,844,60,2232,2021-07-28
2357,2022-02-07,2022-02-07 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2373,2022-03-01,2022-03-01 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2396,2022-04-01,2022-04-01 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2415,2022-05-05,2022-05-05 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2434,2022-06-01,2022-06-01 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2455,2022-07-01,2022-07-01 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2476,2022-08-01,2022-08-01 15:05:00,FIT_COMPLETE,20,892,60,2347,2022-01-17
2499,2022-09-01,2022-09-01 15:05:00,FIT_COMPLETE,20,890,60,2479,2022-08-04
2520,2022-10-10,2022-10-10 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2536,2022-11-01,2022-11-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2558,2022-12-01,2022-12-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2580,2023-01-03,2023-01-03 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2596,2023-02-01,2023-02-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2616,2023-03-01,2023-03-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2639,2023-04-03,2023-04-03 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2658,2023-05-04,2023-05-04 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2678,2023-06-01,2023-06-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2698,2023-07-03,2023-07-03 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2719,2023-08-01,2023-08-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2742,2023-09-01,2023-09-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2762,2023-10-09,2023-10-09 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2779,2023-11-01,2023-11-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2801,2023-12-01,2023-12-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2822,2024-01-02,2024-01-02 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2844,2024-02-01,2024-02-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2859,2024-03-01,2024-03-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2880,2024-04-01,2024-04-01 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2900,2024-05-06,2024-05-06 15:05:00,FIT_COMPLETE,20,885,60,2504,2022-09-08
2920,2024-06-03,2024-06-03 15:05:00,FIT_COMPLETE,20,885,60,2910,2024-05-20
2939,2024-07-01,2024-07-01 15:05:00,FIT_COMPLETE,20,885,60,2910,2024-05-20
2962,2024-08-01,2024-08-01 15:05:00,FIT_COMPLETE,20,915,60,2945,2024-07-09
2984,2024-09-02,2024-09-02 15:05:00,FIT_COMPLETE,20,915,60,2945,2024-07-09
3003,2024-10-08,2024-10-08 15:05:00,FIT_COMPLETE,20,896,60,2989,2024-09-09
3021,2024-11-01,2024-11-01 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3042,2024-12-02,2024-12-02 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3064,2025-01-02,2025-01-02 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3082,2025-02-05,2025-02-05 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3100,2025-03-03,2025-03-03 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3121,2025-04-01,2025-04-01 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3142,2025-05-06,2025-05-06 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3161,2025-06-03,2025-06-03 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3181,2025-07-01,2025-07-01 15:05:00,FIT_COMPLETE,20,842,60,3005,2024-10-10
3204,2025-08-01,2025-08-01 15:05:00,FIT_COMPLETE,20,842,60,3187,2025-07-09
3225,2025-09-01,2025-09-01 15:05:00,FIT_COMPLETE,20,842,60,3187,2025-07-09
3247,2025-10-09,2025-10-09 15:05:00,FIT_COMPLETE,20,842,60,3187,2025-07-09
3264,2025-11-03,2025-11-03 15:05:00,FIT_COMPLETE,20,842,60,3250,2025-10-14
3284,2025-12-01,2025-12-01 15:05:00,FIT_COMPLETE,20,842,60,3250,2025-10-14
3307,2026-01-05,2026-01-05 15:05:00,FIT_COMPLETE,20,842,60,3250,2025-10-14
3327,2026-02-02,2026-02-02 15:05:00,FIT_COMPLETE,20,842,60,3313,2026-01-13
3341,2026-03-02,2026-03-02 15:05:00,FIT_COMPLETE,20,795,60,3329,2026-02-04
3363,2026-04-01,2026-04-01 15:05:00,FIT_COMPLETE,20,795,60,3329,2026-02-04
3384,2026-05-06,2026-05-06 15:05:00,FIT_COMPLETE,20,795,60,3329,2026-02-04
3402,2026-06-01,2026-06-01 15:05:00,FIT_COMPLETE,20,795,60,3329,2026-02-04
3423,2026-07-01,2026-07-01 15:05:00,FIT_COMPLETE,20,795,60,3329,2026-02-04
3446,2026-08-03,2026-08-03 15:05:00,FIT_COMPLETE,20,790,60,3436,2026-07-20
