fit_index,fit_origin,status,failure,source_input_identity,first_attempt_fit_index,parameter_first_fit_index,reused_previous_input,fixed_prediction_identity,nonzero_factor_count,nonzero_factors,max_normal_error,zero_coefficients
632,2014-12-31,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
633,2015-01-05,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
653,2015-02-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
668,2015-03-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
690,2015-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
711,2015-05-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
731,2015-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
752,2015-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
775,2015-08-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
796,2015-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
816,2015-10-08,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
833,2015-11-02,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
854,2015-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
877,2016-01-04,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
897,2016-02-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
913,2016-03-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
936,2016-04-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
956,2016-05-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
977,2016-06-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
997,2016-07-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1018,2016-08-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1041,2016-09-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1061,2016-10-10,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1077,2016-11-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1099,2016-12-01,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1121,2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
