cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,PARABOLIC_REVERSAL,抛物线价格转向进入与退出,-0.1351841107000026,-0.02167422663095691,-0.01313370550929217,0.13278802705833917,-0.09890730211332985,-0.4020578205738075,1604,0.5095846908803993,150,5330.722140000001,16352.000000000182,False,3.672084858408198e-11,-0.057931698276573886,False
BASE,REARM_RIDGE,原学习退出及等待新机会,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,PANIC_LEARNED_HALF,原急跌反弹与学习各半,0.29789775640000093,0.04012350448601946,0.0402434177351489,0.042613102103358176,0.944390709635229,-0.05388667659424196,1604,0.08743134815891201,52,1275.84872,3844.1999999999134,False,4.474998149817111e-11,0.003866032840402482,False
BASE,PANIC_ONLY,原急跌反弹单独策略,0.16894225230000004,0.02383065663551943,0.023775592340672485,0.021265966052220572,1.1180113935237783,-0.009116443854439313,1604,0.017382967485236236,6,260.24954,763.600000000028,False,2.4101609596982598e-11,-0.012426815010097545,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,PARABOLIC_REVERSAL,抛物线价格转向进入与退出,-0.22061696799999725,-0.03690714647893926,-0.02880143913517269,0.13296328170387467,-0.21661197562284137,-0.43986035793981315,1604,0.5096221985930854,150,10138.7936,28078.899999999834,False,4.0671466194908135e-11,-0.0729920909926819,False
STRESS,REARM_RIDGE,原学习退出及等待新机会,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,PANIC_LEARNED_HALF,原急跌反弹与学习各半,0.2738661323999994,0.03719478062376239,0.037421580299378074,0.04257273335175791,0.8790034689617331,-0.05455698002155782,1604,0.08744970775820289,52,2527.97352,6941.500000000024,False,4.274625098332763e-11,0.0011098361100197462,False
STRESS,PANIC_ONLY,原急跌反弹单独策略,0.16389669379999985,0.023162693362054825,0.023120531019077118,0.021152070533780154,1.0930623071700383,-0.010235433232663753,1604,0.017377163704915606,6,519.1612400000001,1427.2000000000112,False,2.8421709430404007e-11,-0.012922251151687821,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
