date,panic_budget,learned_budget,panic_sd,learned_sd,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,panic_state,learned_state,target,panic_active_days,learned_active_days,panic_active_exposure,learned_active_exposure,panic_reference_return,learned_reference_return
2012-05-28,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-05-29,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-05-30,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-05-31,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-01,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-04,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-05,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-06,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-07,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-08,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-11,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-12,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-13,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-14,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-15,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-18,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-19,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-20,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-21,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-25,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-26,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-27,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-28,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-06-29,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-02,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-03,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-04,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-05,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-06,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-09,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-10,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-11,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-12,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-13,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-16,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-17,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-18,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
2012-07-19,,,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,0,0,,,,
