cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,COMPOSITE_STREAK_REVERSAL,三项短期反转与独立退出,0.042706508400000155,0.008336755864059036,0.009120326596341119,0.04081221139553916,0.22347053209025536,-0.06012408276720943,1219,0.019628418054781133,20,845.49832,2511.8999999999955,False,3.3381297726009507e-11,-0.03062447233258489,False
BASE,TWO_POLICY_RISK_BUDGET,第76轮风险预算,0.20995434649999895,0.03855996810338981,0.04046768488242697,0.07238616926717119,0.5590527208735717,-0.11074951407131403,1219,0.13476732372706168,34,739.9307000000001,2256.7999999999665,False,5.218225851422176e-11,-0.00040126009325411327,False
BASE,PANIC_LEARNED_HALF,第46轮急跌与学习各半,0.22966376269999908,0.04189677703772837,0.04366344015915876,0.07224015020229958,0.6044206723945715,-0.11074951407131403,1219,0.1435925223406067,32,726.44746,2201.5999999999667,False,5.218225851422176e-11,0.0029355488410844482,False
BASE,REARM_RIDGE,第32轮原学习退出,0.5178144568999987,0.08636595201207783,0.09019308576833743,0.12062774821341546,0.747697665787205,-0.1379164435416316,1219,0.24447945524491668,18,924.4086199999999,2691.7999999999693,False,4.6270542952697724e-11,0.04740472381543391,False
BASE,BUY_HOLD,买入持有,0.21231097120000025,0.038961228196643924,0.0700992870589068,0.25150253852073073,0.27872198615255206,-0.45019194035126736,1219,0.9624183821070051,2,85.00576000000001,276.9999999999941,False,4.729372449219227e-11,0.0,False
STRESS,COMPOSITE_STREAK_REVERSAL,三项短期反转与独立退出,0.02698817699999984,0.0053007603075106,0.006092164395213919,0.04048001807265407,0.15049806510164154,-0.06673640152793499,1219,0.019626277082494505,20,1677.6646,4835.599999999964,False,2.361844053666573e-11,-0.03339951177817607,False
STRESS,TWO_POLICY_RISK_BUDGET,第76轮风险预算,0.19524184959999952,0.03604062546155671,0.0380375734067192,0.07236943110737641,0.5256027693555012,-0.11216937802319174,1219,0.13478694079269143,34,1471.3300800000002,4238.399999999999,False,4.3783643377537373e-11,-0.0026596466241299646,False
STRESS,PANIC_LEARNED_HALF,第46轮急跌与学习各半,0.21526860940000017,0.03946393855069464,0.04132491760448148,0.07223208590324974,0.5721130310404378,-0.11216937802319174,1219,0.14367440811841564,32,1444.87812,4149.4,False,4.229150363244116e-11,0.0007636664650079658,False
STRESS,REARM_RIDGE,第32轮原学习退出,0.4966178057999997,0.08333708256256431,0.08739686736938987,0.12059773783281692,0.724697402620827,-0.1391665613986051,1219,0.24443238994752556,18,1834.73884,5240.100000000004,False,7.003109203651547e-11,0.044636810476877634,False
STRESS,BUY_HOLD,买入持有,0.21077794240000033,0.038700272085686674,0.06989107720459181,0.2516713023637165,0.2777077741807245,-0.45042134867956046,1219,0.9631159747963955,2,170.01152000000002,498.5999999999943,False,5.4569682106375694e-11,0.0,False
