date,wealth_close,price_rsi3,signed_streak,streak_rsi2,daily_wealth_return,strict_rank100,composite_score,wealth_sma200,factor_valid,factor_state,entry_condition,price_exit_condition
2012-05-28,1.0,,0.0,,,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-05-29,1.0153609831029187,,1.0,,0.015360983102918668,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-05-30,1.012288786482335,,-1.0,33.333333333333336,-0.00302571860816947,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-05-31,1.009984639016897,74.0740740740734,-2.0,20.0,-0.0022761760242793194,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-01,1.009984639016897,74.0740740740734,0.0,69.23076923076923,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-04,0.9823348694316434,18.518518518518498,-1.0,42.857142857142854,-0.027376425855513364,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-05,0.9834869431643622,22.166943062465307,1.0,77.35849056603773,0.0011727912431587217,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-06,0.9827188940092164,21.216931216931197,-1.0,35.042735042735046,-0.0007809449433814342,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-07,0.976574500768049,14.011180992313044,-2.0,22.65193370165746,-0.006252442360296984,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-08,0.9731182795698922,10.890450487150655,-3.0,13.268608414239482,-0.0035391270153363186,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-11,0.9846390168970812,57.84105875172657,1.0,79.89497374343586,0.011838989739542338,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-12,0.9784946236559138,40.68989673016527,-1.0,45.18455663979635,-0.006240249609984372,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-13,0.9927035330261135,70.76248382149086,1.0,70.66969353007946,0.014521193092621676,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-14,0.9884792626728108,57.71288609289076,-1.0,36.61922126808611,-0.004255319148936176,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-15,0.9923195084485406,66.21014666354505,1.0,67.72299766369137,0.0038850038850040125,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-18,0.9953917050691243,72.77493906734571,2.0,78.34840265220012,0.003095975232198178,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-19,0.9880952380952379,43.007812379212886,-1.0,26.334130232181206,-0.007330246913580307,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-20,0.9869431643625189,39.20938355766177,-2.0,18.254763353775573,-0.0011659541391372263,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-21,0.9715821812596003,14.17348289367071,-3.0,11.313036363952861,-0.015564202334630406,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-25,0.9523809523809521,6.450639331847887,-4.0,6.425894737535966,-0.019762845849802257,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-26,0.9523809523809521,6.450639331847887,0.0,79.00012500101703,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-27,0.9489247311827955,5.284479904127097,-1.0,56.92512352920171,-0.003629032258064435,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-28,0.9435483870967739,3.7166889124126916,-2.0,36.517151460261424,-0.0056657223796034994,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-06-29,0.9543010752688169,49.05739715077279,1.0,79.85332306024027,0.01139601139601143,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-02,0.9543010752688169,49.05739715077281,0.0,54.87839370206269,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-03,0.9558371735791087,55.754552229637326,1.0,72.2417420328919,0.0016096579476860828,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-04,0.9558371735791087,55.75455222963733,0.0,40.823202516085146,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-05,0.9450844854070656,18.15772442291911,-1.0,21.83272878633973,-0.011249497790277285,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-06,0.9604454685099842,66.52650551693752,1.0,72.67597995832266,0.016253555465258085,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-09,0.9412442396313361,31.557193356189728,-1.0,31.586120901158406,-0.01999200319872041,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-10,0.9374039938556064,27.258678513349572,-2.0,20.17786981961476,-0.004079967360261172,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-11,0.9416282642089091,40.607316425534144,1.0,74.79626488845216,0.004506349856616243,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-12,0.9500768049155144,61.69511309240489,2.0,82.6917338018874,0.00897226753670477,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-13,0.9516129032258063,65.07685296904393,3.0,89.35878919798455,0.0016168148746968924,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-16,0.9362519201228876,27.99880841125654,-1.0,21.893298513655374,-0.016142050040355183,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-17,0.9381720430107523,34.948259058318285,1.0,55.49464484513594,0.002050861361771794,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-18,0.9381720430107523,34.948259058318285,0.0,38.802071504091685,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-19,0.941244239631336,51.722935348930065,1.0,61.789319610429196,0.0032746623004502595,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-20,0.9343317972350225,27.654886571382047,-1.0,24.69118112582946,-0.007343941248470154,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-23,0.9228110599078336,12.783562669760478,-2.0,15.428157539217484,-0.012330456226880337,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-24,0.9247311827956983,23.119166265058677,1.0,73.98534568970445,0.0020807324178109265,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-25,0.9189708141321038,15.078305354787714,-1.0,38.47002981740623,-0.006229235880398698,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-26,0.9147465437788013,10.90591331559243,-2.0,25.992705561166137,-0.004596740493104767,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-27,0.9158986175115201,19.96589829152892,1.0,74.87899974519208,0.0012594458438286438,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-30,0.9128264208909364,14.192821546879538,-1.0,39.813429110497815,-0.0033542976939203717,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-07-31,0.9105222734254986,10.709217793737986,-2.0,27.115388580986064,-0.0025241901556583013,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-01,0.9174347158218119,57.57184683566381,1.0,74.98496139966363,0.007591733445803328,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-02,0.9105222734254986,32.21257681297007,-1.0,39.97674968864,-0.007534533277521849,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-03,0.91589861751152,55.22313171639494,1.0,68.96001294598828,0.00590468156895807,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-06,0.927803379416282,78.95294239851398,2.0,79.06758912463087,0.012997903563941371,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-07,0.9289554531490009,80.4564152946498,3.0,87.32338317594146,0.0012417218543046005,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-08,0.9297235023041467,81.75941124416525,4.0,92.91335970747181,0.0008267879288961222,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-09,0.9389400921658979,91.7091367260688,5.0,96.23438641919692,0.00991325898389106,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-10,0.9362519201228873,74.03995458970702,-1.0,14.529049391357953,-0.002862985685071484,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-13,0.9185867895545308,25.53867277680184,-2.0,11.324206929266417,-0.018867924528301994,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-14,0.9170506912442389,23.528323686533408,-3.0,7.857684199715609,-0.0016722408026755842,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-15,0.9086021505376337,14.264585672140397,-4.0,4.87379151964282,-0.009212730318257867,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-16,0.905913978494623,12.008084201475006,-5.0,2.770011857520579,-0.00295857988165682,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-17,0.9020737327188934,8.968106305187199,-6.0,1.4866136693288399,-0.004239084357778644,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-20,0.8970814132104447,6.004099513635206,-7.0,0.7716105415653376,-0.005534269902086164,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-21,0.9005376344086015,30.021808465134693,1.0,88.58837180085179,0.00385273972602751,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-22,0.894009216589861,17.414349012314435,-1.0,61.41316066538591,-0.0072494669509596266,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-23,0.8982334869431636,41.3284208870218,1.0,76.08525179051225,0.004725085910652904,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-24,0.8894009216589854,21.65847375105901,-1.0,43.21868445488231,-0.0098332620778111,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-27,0.8709677419354831,8.698508541231224,-2.0,30.181272007925692,-0.020725388601036343,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-28,0.8709677419354831,8.698508541231224,0.0,68.35979575304982,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-29,0.8652073732718887,6.122541659110459,-1.0,44.19366149140633,-0.006613756613756516,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-30,0.861367127496159,4.723677059556021,-2.0,25.889246984077758,-0.004438526409232257,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-08-31,0.861367127496159,4.723677059556022,0.0,72.10468679656667,0.0,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-03,0.8667434715821806,44.597284904417066,1.0,82.81884751336281,0.006241640659830683,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-04,0.8575268817204293,21.480706005693158,-1.0,32.65291617134601,-0.010633584404076246,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-05,0.8571428571428564,20.806647987297083,-2.0,20.335236171669038,-0.0004478280340348695,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-06,0.8655913978494615,61.0944797610531,1.0,75.58829429135166,0.009856630824372603,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-07,0.9051459293394769,91.49169841854295,2.0,83.30686265070142,0.045696539485359455,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-10,0.9082181259600607,92.20156105571253,3.0,89.77365635982804,0.0033941450997030387,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-11,0.9013056835637472,71.94353980314459,-1.0,21.900613937125936,-0.007610993657505394,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-12,0.9059139784946227,76.99751879963124,1.0,55.52544074523327,0.005112910097997414,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-13,0.8970814132104445,50.726643936715746,-1.0,29.835097931487063,-0.009749894022891059,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-14,0.903225806451612,63.663402414674415,1.0,63.557400830171154,0.006849315068493178,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-17,0.882104454685099,27.047332363441704,-1.0,32.40690904384717,-0.0233843537414965,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-18,0.871351766513056,18.793229150560876,-2.0,21.747911930710185,-0.012189812799303423,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-19,0.8748079877112126,29.20916360147808,1.0,73.68322090821815,0.003966505068311976,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-20,0.8559907834101373,14.26582363163533,-1.0,39.09083705694972,-0.021510096575943827,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
2012-09-21,0.8556067588325644,14.045849433400612,-2.0,26.601918213733416,-0.00044863167339603827,,,,False,NO_VIEW_INCOMPLETE_INPUT,0,False
