cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,STATE_ROUTER,按强趋势及其余状态选择已有策略,0.36746706070000196,0.048349667476252016,0.052802265177887,0.10598296239831706,0.49821465623351424,-0.14329626436007833,1604,0.2464122392045516,96,4343.88786,13595.199999999855,False,6.798472895752639e-11,0.01209219583063504,False
BASE,EQUAL_HALF,原趋势与学习退出各半,0.3977830556000023,0.05182359326963898,0.05355173666279813,0.07823191636031152,0.6845254360912717,-0.09665287098339911,1604,0.19701133466758025,145,3671.68888,11318.499999999913,False,1.0557243967923569e-10,0.015566121624022003,False
BASE,REARM_RIDGE,新线性退出＋等待新机会,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,TREND_ONLY,原趋势与震荡策略,0.3582429613000024,0.047279697919939204,0.05203133868232328,0.10825268371873686,0.48064710171538644,-0.17429679488992103,1604,0.23671361548244163,106,5250.707740000001,16296.500000000065,False,5.2523319027386606e-11,0.011022226274322228,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,STATE_ROUTER,按强趋势及其余状态选择已有策略,0.2788927679999993,0.0378112315558517,0.0427149785821731,0.10614964835008259,0.40240339224957844,-0.16419594930639117,1604,0.24652442221829432,96,8390.2464,23611.299999999996,False,3.186073627148289e-11,0.0017262870421090523,False
STRESS,EQUAL_HALF,原趋势与学习退出各半,0.3277800335999963,0.04370169014397718,0.045791935335277395,0.078142068412425,0.586008743633362,-0.11730349021376883,1604,0.19697333729215954,145,7148.493280000001,19847.900000000045,False,6.974687494221143e-11,0.007616745630234532,False
STRESS,REARM_RIDGE,新线性退出＋等待新机会,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,TREND_ONLY,原趋势与震荡策略,0.26155696080000185,0.03567645456455206,0.04088555401048567,0.10822206191252165,0.3777931531514747,-0.1972793291889378,1604,0.23666456310844947,106,10110.40784,28249.50000000005,False,4.058620106661692e-11,-0.00040848994919058523,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
