cost,model,era,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,Z0_ORIGINAL_MONTHLY,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Z0_ORIGINAL_MONTHLY,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Z0_ORIGINAL_MONTHLY,2024—终点,0.4729246066999963,0.15929800137840447,0.16101670612784633,0.16342642209397873,0.9852550405542949,-0.1237698051689185,634,0.747767911850722,10,277.97866,780.4999999999861,False,5.638867150992155e-11
BASE,Z1_FORECAST_EXPIRY,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Z1_FORECAST_EXPIRY,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Z1_FORECAST_EXPIRY,2024—终点,0.4729246066999963,0.15929800137840447,0.16101670612784633,0.16342642209397873,0.9852550405542949,-0.1237698051689185,634,0.747767911850722,10,277.97866,780.4999999999861,False,5.638867150992155e-11
BASE,Z2_FORECAST_EXPIRY_AND_TREND,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
BASE,Z2_FORECAST_EXPIRY_AND_TREND,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
BASE,Z2_FORECAST_EXPIRY_AND_TREND,2024—终点,0.035045335100001844,0.01323467617484478,0.018784158884052833,0.10619062762200232,0.17689093006321796,-0.11177553150600575,634,0.5116935841707649,23,701.1329800000001,2063.299999999994,False,5.275069270282984e-11
BASE,BUY_HOLD,2020—2021,0.23139444679999874,0.10920697764669818,0.12486009615824245,0.2056449045646915,0.6071635785119301,-0.16951436057712777,486,0.9915676741392169,1,39.91064,145.2000000000055,False,8.185452315956354e-11
BASE,BUY_HOLD,2022—2023,-0.26923947956852157,-0.14515468040616933,-0.14397481622705904,0.16020197692177007,-0.8987081120563507,-0.294787751352396,484,0.9557094572944964,0,0.0,0.0,False,2.8194335754960775e-11
BASE,BUY_HOLD,2024—终点,0.4071779338347121,0.13926651861604938,0.14534712270330624,0.1730350785885328,0.8399864575953014,-0.15253998850559136,634,0.9204940197051358,1,45.825120000000005,145.2000000000055,False,3.456079866737127e-11
STRESS,Z0_ORIGINAL_MONTHLY,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Z0_ORIGINAL_MONTHLY,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Z0_ORIGINAL_MONTHLY,2024—终点,0.4607840595999979,0.1556413032523249,0.15774817398682592,0.1627546118415418,0.9692393487467491,-0.12363830315961839,634,0.7404255476503461,10,552.6880800000001,1433.3000000000097,False,5.638867150992155e-11
STRESS,Z1_FORECAST_EXPIRY,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Z1_FORECAST_EXPIRY,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Z1_FORECAST_EXPIRY,2024—终点,0.4607840595999979,0.1556413032523249,0.15774817398682592,0.1627546118415418,0.9692393487467491,-0.12363830315961839,634,0.7404255476503461,10,552.6880800000001,1433.3000000000097,False,5.638867150992155e-11
STRESS,Z2_FORECAST_EXPIRY_AND_TREND,2020—2021,0.0,0.0,0.0,0.0,,0.0,486,0.0,0,0.0,0.0,False,0.0
STRESS,Z2_FORECAST_EXPIRY_AND_TREND,2022—2023,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
STRESS,Z2_FORECAST_EXPIRY_AND_TREND,2024—终点,0.022309218200000046,0.008457472401519305,0.014064648142042257,0.10625215280435937,0.13237047693461138,-0.11408721614943344,634,0.5114848495259158,23,1388.3563600000002,3766.6000000001463,False,5.6843418860808015e-11
STRESS,BUY_HOLD,2020—2021,0.23071070000000127,0.10890025181464306,0.1246077146486007,0.20576243798683067,0.6055901935637831,-0.16959575054209083,486,0.992158791772791,1,79.86,241.99999999999483,False,6.184563972055912e-11
STRESS,BUY_HOLD,2022—2023,-0.2693890611335388,-0.14524217531135683,-0.14405982630438274,0.16031003120964557,-0.8986326383779963,-0.29495152678854586,484,0.9563537274336262,0,0.0,0.0,False,2.8194335754960775e-11
STRESS,BUY_HOLD,2024—终点,0.40669468255582664,0.13911716300186158,0.14523502063473265,0.1731458904840387,0.8388014305665603,-0.1526317349696486,634,0.9210856740052947,1,91.61152000000001,241.99999999999483,False,5.4569682106375694e-11
