date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2020-02-03,3.73,3.659,CLOSE,106612.66,25000,0.0,198087.66,-0.009561700000000006,-1912.3399999999965,-1775.0000000000043,0.0,0.0,0.46179050224531903,7.901235221652314e-12,2020-01-23,False,0.46675,25000,25000,3.73,3.734,37.34,100.00000000000009,93350.0,FILLED,200000.0,0,106612.66,25000.0
2020-03-02,3.948,4.076,CLOSE,205173.22,0,0.0,205173.22,0.0011494227073736152,235.55999999999767,375.0000000000031,0.0,0.0,0.0,-5.3717030823463574e-12,2020-02-28,False,0.4802431569490162,-25000,-25000,3.948,3.944,39.440000000000005,100.00000000000009,98600.0,FILLED,106612.66,25000,205173.22,0.0
2020-05-06,3.865,3.918,CLOSE,154469.04644,13100,0.0,205794.84644,0.003029764020860082,621.6264399999927,694.2999999999992,0.0,0.0,0.24940274690000155,-6.3806737671257e-12,2020-04-30,False,0.2470298024274318,13100,13100,3.865,3.869,20.27356,52.40000000000005,50683.9,FILLED,205173.22,0,154469.04644,13100.0
2020-06-01,3.898,3.968,CLOSE,205460.04188,0,0.0,205460.04188,0.001688797630055916,346.39543999999296,419.2000000000004,0.0,0.0,0.0,-7.37543359718984e-12,2020-05-29,False,0.24819098690822375,-13100,-13100,3.898,3.894,20.40456,52.40000000000005,51011.4,FILLED,154469.04644,13100,205460.04188,0.0
2020-07-01,4.187,4.272,CLOSE,389.2463599999901,48900,0.0,209290.04636,0.01864111602895968,3830.0044800000032,4156.499999999998,0.0,0.0,0.9981401582790496,-1.4210854715202004e-13,2020-06-30,False,0.9977064061912573,49000,48900,4.187,4.192,81.99552000000001,244.4999999999948,204988.80000000002,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,205460.04188,0,389.2463599999901,48900.0
2020-08-03,4.79,4.825,CLOSE,234282.15175999998,0,0.0,234282.15175999998,0.006953820474404182,1617.9053999999887,1956.0000000000018,0.0,0.0,0.0,-1.8275159163749777e-11,2020-07-31,False,0.9972988419804676,-48900,-48900,4.79,4.785,93.5946,244.4999999999948,233986.5,FILLED,389.2463599999901,48900,234282.15175999998,0.0
2021-05-06,5.109,5.061,CLOSE,175947.82736,11400,0.0,233643.22736,-0.0027271578103589267,-638.924399999989,-547.2000000000005,0.0,0.0,0.2469380373311755,1.4125589586910792e-11,2021-04-30,False,0.24889219926464623,11400,11400,5.109,5.115,23.3244,68.40000000000259,58311.0,FILLED,234282.15175999998,0,175947.82736,11400.0
2021-06-01,5.333,5.346,CLOSE,59511.07127999999,33200,0.0,236998.27128,0.000832952129468989,197.24391999997897,374.5999999999979,0.0,0.0,0.748896601825036,-1.3983481039758772e-11,2021-05-31,False,0.4916288757013228,21800,21800,5.333,5.339,46.55608000000001,130.80000000000496,116390.20000000001,FILLED,175947.82736,11400,59511.07127999999,33200.0
2021-08-02,4.856,4.993,CLOSE,110426.19707999998,22700,0.0,223767.29708,0.011325179144402231,2505.8257999999914,2578.70000000001,0.0,0.0,0.5065132460329043,-1.951150352397235e-11,2021-07-30,False,0.23075901508492,-10500,-10500,4.856,4.851,20.374200000000002,52.49999999999888,50935.5,FILLED,59511.07127999999,33200,110426.19707999998,22700.0
2021-09-01,4.88,4.949,CLOSE,165978.96707999997,11300,0.0,221902.66707999998,0.0032696068557314106,723.1700000000128,802.400000000007,0.0,0.0,0.252019052929357,4.568789790937444e-12,2021-08-31,False,0.25124072334553144,-11400,-11400,4.88,4.875,22.23,56.999999999998785,55575.0,FILLED,110426.19707999998,22700,165978.96707999997,11300.0
